name_x	name_y	n
qacEdelta1	267_qacEdelta_HM138673.1	90
sul1	267_qacEdelta_HM138673.1	72
APH(4)-Ia	1338_tnpA_10_CQHS01000038.1	56
AAC(3)-IVa	1338_tnpA_10_CQHS01000038.1	53
catA8	36_rep7_13_rep(pSBK203)_U35036.1	44
sul1	473_tniB_U67194.4	36
qacEdelta1	473_tniB_U67194.4	34
APH(4)-Ia	279_tnpA_M95402.1	33
AAC(3)-IVa	279_tnpA_M95402.1	32
tet(A)	2512_tnpA_AY509004.1	32
aadA5	267_qacEdelta_HM138673.1	30
tet(M)	1999_Tn916-orf13_KC414929	29
aadA5	542_intI1_DQ647028.2	23
emtA	993_tnpA_AF403298.1	23
qacEdelta1	542_intI1_DQ647028.2	23
sul1	542_intI1_DQ647028.2	23
tet(M)	2640_Tn916-orf14_KC414929	23
tet(M)	2646_Tn916-orf15_KC414929	23
ANT(9)-Ia	805_tnpA_FMRQ01000002.1	22
fexA	394_tnpA_KT862781.1	22
sul1	278_tnpA_AB304081.1	20
tet(L)	1999_Tn916-orf13_KC414929	20
sul2	432_tnpA_FJ628170.1	19
tet(L)	134_repUS12__rep(pUB110)_AF181950	19
APH(3')-VIa	1000_tnpA_JQ364968.1	18
qacEdelta1	278_tnpA_AB304081.1	18
aadA5	473_tniB_U67194.4	17
qacL	721_qacEdelta_CP012682.1	17
tet(L)	2640_Tn916-orf14_KC414929	17
tet(L)	2646_Tn916-orf15_KC414929	17
tet(M)	2634_Tn916-orf16_KC414929	16
AAC(3)-IVa	729_tnpA_LC155908.1	15
ANT(3'')-IIa	542_intI1_DQ647028.2	15
CTX-M-14	830_tnpA_KF537631.1	15
ErmC	53_rep10_4_repL(pDLK1)_GU562624.1	15
TEM-1	1098_tnpA_KX756453.1	15
APH(3')-IIa	1642_tnpAIS50-A_KF056330.2	14
APH(6)-Id	1000_tnpA_JQ364968.1	14
AAC(3)-IId	391_tnpAcp2_KJ817377.1	13
APH(4)-Ia	729_tnpA_LC155908.1	13
FosB3	850_tnpA_HQ219726.1	13
AAC(3)-IId	1484_tnpA10_HQ840942.1	12
floR	270_IS91_MOFF01000153.1	12
lnuG	805_tnpA_FMRQ01000002.1	12
tet(S)	872_Tn916-orf6_KC414929	12
ANT(3'')-IIa	721_qacEdelta_CP012682.1	11
CTX-M-14	359_tnpA_FR718870.1	11
tet(M)	1341_Tn916-orf9_KC414929	11
APH(3')-Ia	729_tnpA_LC155908.1	10
Mrx	278_tnpA_AB304081.1	10
QnrS1	730_tnpA_KX117210.1	10
aadA5	278_tnpA_AB304081.1	10
mphA	278_tnpA_AB304081.1	10
qacG	116_rep21_14_rep(pKH21)_EU350088.1	10
spd	36_rep7_13_rep(pSBK203)_U35036.1	10
tet(L)	36_rep7_13_rep(pSBK203)_U35036.1	10
APH(3'')-Ib	1000_tnpA_JQ364968.1	9
BLMT	1642_tnpAIS50-A_KF056330.2	9
QnrS1	1117_tnpA_KJ933392.1	9
QnrS1	1182_tnpA_KP400525.1	9
QnrS1	1387_tnpA_KP400525.1	9
qacL	508_tnpA_KU341381.1	9
spd	30_rep7_7_rep(pKH7)_NC002096	9
tet(K)	24_rep7_1_repC(Cassette)_AB037671	9
ANT(3'')-IIa	267_qacEdelta_HM138673.1	8
ANT(3'')-IIa	508_tnpA_KU341381.1	8
ErmC	117_rep22_1_repB(pUB110)_X03408.1	8
poxtA	301_tnpA_AB362339.1	8
tet(A)	287_tnpA_KT922275.1	8
tet(B)	480_tnpA_JX077110.1	8
tetR	480_tnpA_JX077110.1	8
ANT(2'')-Ia	542_intI1_DQ647028.2	7
APH(3')-IIa	2418_IS91_MOJA01000111.1	7
fexB	301_tnpA_AB362339.1	7
sul3	508_tnpA_KU341381.1	7
ANT(2'')-Ia	286_tnpA_KU997026.1	6
ANT(3'')-IIa	473_tniB_U67194.4	6
ANT(9)-Ib	1325_Tn916-orf8_KC414929	6
FosA3	729_tnpA_LC155908.1	6
sul3	721_qacEdelta_CP012682.1	6
tet(M)	1325_Tn916-orf8_KC414929	6
APH(3'')-Ib	729_tnpA_LC155908.1	5
APH(3')-IIIa	301_tnpA_AB362339.1	5
APH(6)-Id	2512_tnpA_AY509004.1	5
APH(6)-Id	729_tnpA_LC155908.1	5
CTX-M-55	359_tnpA_FR718870.1	5
catA8	134_repUS12__rep(pUB110)_AF181950	5
cpxA	1083_int2_CP002967.1	5
tet(M)	134_repUS12__rep(pUB110)_AF181950	5
tet(M)	1395_Int-Tn916_KC414929.1	5
tet(M)	1924_Tn916-orf7_KC414929	5
tet(M)	2474_Xis-Tn916_KC414929.1	5
tet(M)	36_rep7_13_rep(pSBK203)_U35036.1	5
ANT(3'')-IIa	277_tnpA_AF071413.3	4
ANT(3'')-IIa	278_tnpA_AB304081.1	4
ANT(3'')-IIa	286_tnpA_KU997026.1	4
ANT(4')-Ia	117_rep22_1_repB(pUB110)_X03408.1	4
ANT(4')-Ia	134_repUS12__rep(pUB110)_AF181950	4
APH(3'')-Ib	2512_tnpA_AY509004.1	4
ErmF	2204_tnpA_AB646744.1	4
OXA-246	286_tnpA_KU997026.1	4
OXA-246	542_intI1_DQ647028.2	4
QnrS1	2512_tnpA_AY509004.1	4
SAT-4	2546_tnpA_KJ507131.1	4
cmlA1	508_tnpA_KU341381.1	4
cmlA1	721_qacEdelta_CP012682.1	4
cmx	1180_tnpA_AM286690.1	4
dfrA12	542_intI1_DQ647028.2	4
qacEdelta1	277_tnpA_AF071413.3	4
qacEdelta1	360_tniA_LC155906.1	4
sul1	360_tniA_LC155906.1	4
tet(A)	1182_tnpA_KP400525.1	4
tet(A)	1387_tnpA_KP400525.1	4
AAC(3)-IVa	2512_tnpA_AY509004.1	3
APH(3'')-Ib	2523_tnpA1133_AY463797.8	3
APH(3')-IIIa	268_tnpA_KM396300.1	3
APH(4)-Ia	2512_tnpA_AY509004.1	3
APH(6)-Id	2523_tnpA1133_AY463797.8	3
BLMT	2418_IS91_MOJA01000111.1	3
Ssui_ACT_CHL	117_rep22_1_repB(pUB110)_X03408.1	3
TEM-1	1044_tnpA_AB723628.1	3
TEM-1	391_tnpAcp2_KJ817377.1	3
aadA8b	267_qacEdelta_HM138673.1	3
cmx	267_qacEdelta_HM138673.1	3
cmx	729_tnpA_LC155908.1	3
optrA	805_tnpA_FMRQ01000002.1	3
sul1	277_tnpA_AF071413.3	3
tet(A)	730_tnpA_KX117210.1	3
tet(L)	1884_IS91_CP000705.1	3
tet(M)	1884_IS91_CP000705.1	3
AAC6_Ie_APH2_Ia	2473_tnpA_KM083808.1	2
ANT(4')-Ia	140_repUS18__rep(pKKS825)_FN377602.2	2
ANT(6)-Ia	2473_tnpA_KM083808.1	2
APH(3'')-Ib	267_qacEdelta_HM138673.1	2
APH(3'')-Ib	279_tnpA_M95402.1	2
APH(3')-IIa	167_IncX1_1__EU370913	2
APH(4)-Ia	432_tnpA_FJ628170.1	2
APH(6)-Id	267_qacEdelta_HM138673.1	2
APH(6)-Id	279_tnpA_M95402.1	2
AcrE	830_tnpA_KF537631.1	2
CTX-M-64	359_tnpA_FR718870.1	2
ErmA	805_tnpA_FMRQ01000002.1	2
ErmB	301_tnpA_AB362339.1	2
ErmB	832_tnpA_GU591497.1	2
MCR-1.1	379_tnpA_KU743384.1	2
Mrx	267_qacEdelta_HM138673.1	2
Mrx	729_tnpA_LC155908.1	2
TEM-1	287_tnpA_KT922275.1	2
TEM-1	314_tnpA_CP002474.1	2
aadA5	277_tnpA_AF071413.3	2
aadA5	360_tniA_LC155906.1	2
catA8	1999_Tn916-orf13_KC414929	2
catA8	301_tnpA_AB362339.1	2
catA8	43_rep7b_3_SAP089A_GQ900440.1	2
cfr(D)	60_rep11_3_rep(pEFR)_AF511037	2
cmlA1	542_intI1_DQ647028.2	2
dfrA12	267_qacEdelta_HM138673.1	2
fexA	36_rep7_13_rep(pSBK203)_U35036.1	2
mecA	468_tnpA_AF051917.1	2
mecR1	468_tnpA_AF051917.1	2
mef(B)	508_tnpA_KU341381.1	2
mef(B)	721_qacEdelta_CP012682.1	2
mefF	2422_IS91_CBZU010000001.1	2
mefF	921_tnpAB_EU402605.1	2
mphA	729_tnpA_LC155908.1	2
msr(G)	2422_IS91_CBZU010000001.1	2
ramA	268_tnpA_KM396300.1	2
sul2	1338_tnpA_10_CQHS01000038.1	2
sul2	270_IS91_MOFF01000153.1	2
sul2	279_tnpA_M95402.1	2
sul2	790_tnpA_GU371929.1	2
tet(A)	1338_tnpA_10_CQHS01000038.1	2
tet(A)	279_tnpA_M95402.1	2
tet(M)	2529_tnpA_EU402605.1	2
AAC(3)-IId	2589_IS91_FQ482074.1	1
AAC(3)-IId	278_tnpA_AB304081.1	1
AAC(3)-IVa	2418_IS91_MOJA01000111.1	1
AAC(3)-IVa	270_IS91_MOFF01000153.1	1
AAC(3)-IVa	278_tnpA_AB304081.1	1
AAC(3)-IVa	528_tnpA_KT282968.1	1
AAC(6')-Ia	542_intI1_DQ647028.2	1
AAC(6')-Ib7	542_intI1_DQ647028.2	1
