name_y	n
267_qacEdelta_HM138673.1	220
1338_tnpA_10_CQHS01000038.1	115
542_intI1_DQ647028.2	112
473_tniB_U67194.4	95
278_tnpA_AB304081.1	78
279_tnpA_M95402.1	74
36_rep7_13_rep(pSBK203)_U35036.1	71
729_tnpA_LC155908.1	69
1999_Tn916-orf13_KC414929	54
2512_tnpA_AY509004.1	51
721_qacEdelta_CP012682.1	42
1000_tnpA_JQ364968.1	41
2640_Tn916-orf14_KC414929	41
2646_Tn916-orf15_KC414929	40
805_tnpA_FMRQ01000002.1	39
134_repUS12__rep(pUB110)_AF181950	34
508_tnpA_KU341381.1	31
301_tnpA_AB362339.1	25
1642_tnpAIS50-A_KF056330.2	23
394_tnpA_KT862781.1	23
993_tnpA_AF403298.1	23
432_tnpA_FJ628170.1	22
277_tnpA_AF071413.3	20
480_tnpA_JX077110.1	19
1098_tnpA_KX756453.1	18
270_IS91_MOFF01000153.1	18
359_tnpA_FR718870.1	18
391_tnpAcp2_KJ817377.1	17
830_tnpA_KF537631.1	17
117_rep22_1_repB(pUB110)_X03408.1	16
2634_Tn916-orf16_KC414929	16
286_tnpA_KU997026.1	16
360_tniA_LC155906.1	16
287_tnpA_KT922275.1	15
53_rep10_4_repL(pDLK1)_GU562624.1	15
850_tnpA_HQ219726.1	14
1182_tnpA_KP400525.1	13
1325_Tn916-orf8_KC414929	13
1341_Tn916-orf9_KC414929	13
1387_tnpA_KP400525.1	13
2418_IS91_MOJA01000111.1	13
730_tnpA_KX117210.1	13
1484_tnpA10_HQ840942.1	12
872_Tn916-orf6_KC414929	12
24_rep7_1_repC(Cassette)_AB037671	11
116_rep21_14_rep(pKH21)_EU350088.1	10
2204_tnpA_AB646744.1	10
268_tnpA_KM396300.1	10
1117_tnpA_KJ933392.1	9
1884_IS91_CP000705.1	9
2523_tnpA1133_AY463797.8	9
30_rep7_7_rep(pKH7)_NC002096	9
1044_tnpA_AB723628.1	8
468_tnpA_AF051917.1	7
832_tnpA_GU591497.1	7
1395_Int-Tn916_KC414929.1	6
1924_Tn916-orf7_KC414929	6
1083_int2_CP002967.1	5
2223_tnpA_CR942285.1	5
2474_Xis-Tn916_KC414929.1	5
2546_tnpA_KJ507131.1	5
1180_tnpA_AM286690.1	4
2422_IS91_CBZU010000001.1	4
2473_tnpA_KM083808.1	4
349_tnpA_JX041889.1	4
140_repUS18__rep(pKKS825)_FN377602.2	3
2014_tnpA_4_KU665641.1	3
2529_tnpA_EU402605.1	3
876_tnpA_JFWY01000082.1	3
921_tnpAB_EU402605.1	3
167_IncX1_1__EU370913	2
2301_IS91_CYDC01000057.1	2
2491_tnpA_KX356458.1	2
2710_tnpA_AY939911.1	2
281_ISCR-orf513_KJ186154.1	2
314_tnpA_CP002474.1	2
379_tnpA_KU743384.1	2
43_rep7b_3_SAP089A_GQ900440.1	2
528_tnpA_KT282968.1	2
60_rep11_3_rep(pEFR)_AF511037	2
763_tnpA_JX275775.1	2
790_tnpA_GU371929.1	2
1027_tnpA_JN106169.1	1
1204_tnpA_EU213261.1	1
123_repUS1__ORF(E.faeciumContig1258)_JDOE	1
1328_tnpA_KR230047.1	1
1335_tnpA1_FN597644.1	1
1399_IS91_DQ388534.1	1
139_repUS17__rep(pKKS825)_FN377602.2	1
1533_tnpA_FAVL01000073.1	1
1735_IS91_MLYM01000036.1	1
1861_tnpA_FJ866609.1	1
1874_tnpA_JX843238.1	1
1881_IS91_MNQS01000105.1	1
1897_IS91_MNRK01000014.1	1
20_rep5_5_rep(pRJ6)_AF241888.2	1
2194_tnpA_LC015492.1	1
2257_tnpA-IS683_KP347127.1	1
2266_tnpA_LFUT01000004.1	1
2289_tnpA_EU402605.1	1
2589_IS91_FQ482074.1	1
26_rep7_3_CDS1(pCW7)_J03323	1
2756_tnpA_KX810026.1	1
280_tnpA_JF714412.2	1
337_tnpA_KF295829.1	1
3_rep1_3_repR(pGB354)_U83488	1
428_tnpA_JX077110.1	1
436_IS91_AOGM01000145.1	1
483_tnpA_HE577623.1	1
554_tnpAcp1_FJ187822.1	1
66_rep13_4_rep(pKH13)_NC010426.1	1
7_rep2_1_ORF(E.faeciumContig1183)_JDOE	1
871_tnpA_AY779042.1	1
