d14C_7779_1	---(d14C_7779_1 ARGs)------(d14C_7779_2)------(d14C_7779_3 MGEs)---
d14I_32219_4	---(d14I_32219_1)------(d14I_32219_2)------(d14I_32219_3 MGEs)------(d14I_32219_4 ARGs)------(d14I_32219_5)------(d14I_32219_6 MGEs)------(d14I_32219_7)---
d14J_20497_1	---(d14J_20497_1 ARGs)------(d14J_20497_2)------(d14J_20497_3 MGEs)------(d14J_20497_4)---
d14K_22564_7	---(d14K_22564_1)------(d14K_22564_2 MGEs)------(d14K_22564_3 MGEs)------(d14K_22564_4)------(d14K_22564_5)------(d14K_22564_6 MGEs)------(d14K_22564_7 ARGs)------(d14K_22564_8 MGEs)------(d14K_22564_9)------(d14K_22564_10)---
d14L_16306_3	---(d14L_16306_1 MGEs)------(d14L_16306_2)------(d14L_16306_3 ARGs)------(d14L_16306_4 MGEs)------(d14L_16306_5)------(d14L_16306_6)------(d14L_16306_7 MGEs)------(d14L_16306_8 MGEs)---
d14M_37441_2	---(d14M_37441_1)------(d14M_37441_2 ARGs)------(d14M_37441_3 MGEs)------(d14M_37441_4)------(d14M_37441_5)------(d14M_37441_6 MGEs)------(d14M_37441_7)---
d14N_47898_3	---(d14N_47898_1)------(d14N_47898_2 MGEs)------(d14N_47898_3 ARGs)------(d14N_47898_4 MGEs)------(d14N_47898_5)------(d14N_47898_6)------(d14N_47898_7 MGEs)------(d14N_47898_8)---
d14O_21241_5	---(d14O_21241_1)------(d14O_21241_2)------(d14O_21241_3 MGEs)------(d14O_21241_4)------(d14O_21241_5 ARGs)------(d14O_21241_6 MGEs)------(d14O_21241_7)------(d14O_21241_8)------(d14O_21241_9)---
d1F_21857_5	---(d1F_21857_1 MGEs)------(d1F_21857_2)------(d1F_21857_3)------(d1F_21857_4 MGEs)------(d1F_21857_5 ARGs)------(d1F_21857_6 MGEs)------(d1F_21857_7)------(d1F_21857_8)------(d1F_21857_9 MGEs)------(d1F_21857_10)------(d1F_21857_11)------(d1F_21857_12 MGEs)---
d1I_13279_2	---(d1I_13279_1)------(d1I_13279_2 ARGs)------(d1I_13279_3 MGEs)------(d1I_13279_4)------(d1I_13279_5)---
d21B_15736_7	---(d21B_15736_1)------(d21B_15736_2 MGEs)------(d21B_15736_3 MGEs)------(d21B_15736_4)------(d21B_15736_5)------(d21B_15736_6 MGEs)------(d21B_15736_7 ARGs)------(d21B_15736_8)------(d21B_15736_9 MGEs)---
d21C_3328_6	---(d21C_3328_1 MGEs)------(d21C_3328_2 MGEs)------(d21C_3328_3)------(d21C_3328_4)------(d21C_3328_5 MGEs)------(d21C_3328_6 ARGs)------(d21C_3328_7)------(d21C_3328_8 MGEs)------(d21C_3328_9)---
d21E_33595_6	---(d21E_33595_1)------(d21E_33595_2 MGEs)------(d21E_33595_3)------(d21E_33595_4)------(d21E_33595_5 MGEs)------(d21E_33595_6 ARGs)------(d21E_33595_7 MGEs)------(d21E_33595_8)------(d21E_33595_9)------(d21E_33595_10)---
d21F_35283_5	---(d21F_35283_1)------(d21F_35283_2)------(d21F_35283_3)------(d21F_35283_4 MGEs)------(d21F_35283_5 ARGs)------(d21F_35283_6)------(d21F_35283_7 MGEs)------(d21F_35283_8)------(d21F_35283_9)------(d21F_35283_10 MGEs)---
d21G_4574_6	---(d21G_4574_1 MGEs)------(d21G_4574_2 MGEs)------(d21G_4574_3)------(d21G_4574_4)------(d21G_4574_5 MGEs)------(d21G_4574_6 ARGs)------(d21G_4574_7)---
d21J_75466_8	---(d21J_75466_2)------(d21J_75466_3)------(d21J_75466_4 MGEs)------(d21J_75466_5)------(d21J_75466_6)------(d21J_75466_7 MGEs)------(d21J_75466_8 ARGs)------(d21J_75466_9)------(d21J_75466_10 MGEs)---
d21K_107049_8	---(d21K_107049_1)------(d21K_107049_2)------(d21K_107049_3 MGEs)------(d21K_107049_4 MGEs)------(d21K_107049_5)------(d21K_107049_6)------(d21K_107049_7 MGEs)------(d21K_107049_8 ARGs)------(d21K_107049_9)------(d21K_107049_10)---
d21L_21156_7	---(d21L_21156_1)------(d21L_21156_2)------(d21L_21156_3)------(d21L_21156_4)------(d21L_21156_5 MGEs)------(d21L_21156_6)------(d21L_21156_7 ARGs)------(d21L_21156_8 MGEs)------(d21L_21156_9)------(d21L_21156_10)------(d21L_21156_11)------(d21L_21156_12 MGEs)---
d21M_20239_5	---(d21M_20239_1 MGEs)------(d21M_20239_2)------(d21M_20239_3)------(d21M_20239_4 MGEs)------(d21M_20239_5 ARGs)------(d21M_20239_6)------(d21M_20239_7)---
d21N_2662_3	---(d21N_2662_1)------(d21N_2662_2 MGEs)------(d21N_2662_3 ARGs)------(d21N_2662_4 MGEs)------(d21N_2662_5)------(d21N_2662_6)------(d21N_2662_7 MGEs)------(d21N_2662_8)---
d21O_82867_6	---(d21O_82867_1)------(d21O_82867_2 MGEs)------(d21O_82867_3)------(d21O_82867_4)------(d21O_82867_5 MGEs)------(d21O_82867_6 ARGs)------(d21O_82867_7 MGEs)------(d21O_82867_8)---
