sample	group
d14A	d14
d14B	d14
d14C	d14
d14D	d14
d14G	d14
d14I	d14
d14J	d14
d14K	d14
d14L	d14
d14M	d14
d14N	d14
d14O	d14
d1D	d1
d1F	d1
d1G	d1
d1I	d1
d1J	d1
d1L	d1
d1M	d1
d1N	d1
d1O	d1
d21A	d21
d21B	d21
d21C	d21
d21E	d21
d21F	d21
d21G	d21
d21J	d21
d21K	d21
d21L	d21
d21M	d21
d21N	d21
d21O	d21
d28A	d28
d28B	d28
d28C	d28
d28D	d28
d28E	d28
d28F	d28
d28J	d28
d28K	d28
d28L	d28
d28M	d28
d28N	d28
d28O	d28
d35A	d35
d35B	d35
d35C	d35
d35D	d35
d35E	d35
d35H	d35
d35J	d35
d35K	d35
d35L	d35
d35M	d35
d35N	d35
d35O	d35
d3A	d3
d3B	d3
d3C	d3
d3D	d3
d3E	d3
d3F	d3
d3G	d3
d3H	d3
d3I	d3
d3J	d3
d3L	d3
d3N	d3
d3O	d3
d42A	d42
d42B	d42
d42C	d42
d42D	d42
d42E	d42
d42H	d42
d42I	d42
d42J	d42
d42L	d42
d42M	d42
d42N	d42
d42O	d42
d5B	d5
d5E	d5
d5G	d5
d5H	d5
d5I	d5
d5J	d5
d5K	d5
d5L	d5
d5M	d5
d5N	d5
d5O	d5
d7A	d7
d7B	d7
d7E	d7
d7F	d7
d7H	d7
d7I	d7
d7J	d7
d7K	d7
d7L	d7
d7M	d7
d7N	d7
d7O	d7
