d21J_41163_13	d21J_41163_13	67_rep13_5_rep(pMC524/MBM)_AJ312056.2
d21K_23304_14	d21K_23304_14	2754_tnpA_CYGH01000010.1
d21F_64035_1	d21F_64035_1	2571_tnpA_AIGK01000078.1
d21F_64035_1	d28E_157480_3	2571_tnpA_AIGK01000078.1
d21F_64035_1	d35O_198356_2	2571_tnpA_AIGK01000078.1
d21F_64035_1	d3L_12573_1	2571_tnpA_AIGK01000078.1
d21F_64035_1	HC160_59_6	2571_tnpA_AIGK01000078.1
d21M_1940_3	d21M_1940_3	1233_tnpA_JN208880.1
d3F_4026_6	d3F_4026_6	301_tnpA_AB362339.1
d3F_4026_6	d14I_39944_1	301_tnpA_AB362339.1
d3F_4026_6	d14K_12719_1	301_tnpA_AB362339.1
d3F_4026_6	d3I_14757_2	301_tnpA_AB362339.1
d3F_4026_6	d3J_34862_2	301_tnpA_AB362339.1
d3F_4026_6	d5B_11964_2	301_tnpA_AB362339.1
d3F_4026_6	d7M_28453_1	301_tnpA_AB362339.1
HC607_1_544	HC607_1_544	696_IS91_AF074613.1
d1F_10363_2	d1F_10363_2	705_tnpA_HE613569.1
d1F_10363_2	d1F_142_22	705_tnpA_HE613569.1
d1F_10363_2	d1F_78711_1	705_tnpA_HE613569.1
d14B_77305_2	d14B_77305_2	140_repUS18__rep(pKKS825)_FN377602.2
d14B_77305_2	d14I_85629_4	140_repUS18__rep(pKKS825)_FN377602.2
d14B_77305_2	d14M_37707_1	140_repUS18__rep(pKKS825)_FN377602.2
d14B_77305_2	d21E_11357_2	140_repUS18__rep(pKKS825)_FN377602.2
d14B_77305_2	d21J_114530_11	140_repUS18__rep(pKKS825)_FN377602.2
d14B_77305_2	d28D_23701_3	140_repUS18__rep(pKKS825)_FN377602.2
d14B_77305_2	d28K_4192_1	140_repUS18__rep(pKKS825)_FN377602.2
d14B_77305_2	d35A_77808_4	140_repUS18__rep(pKKS825)_FN377602.2
d14B_77305_2	d35L_95032_3	140_repUS18__rep(pKKS825)_FN377602.2
d14B_77305_2	d3B_5715_8	140_repUS18__rep(pKKS825)_FN377602.2
d14B_77305_2	d3G_33453_12	140_repUS18__rep(pKKS825)_FN377602.2
d14B_77305_2	d3G_33453_13	140_repUS18__rep(pKKS825)_FN377602.2
d14B_77305_2	d3O_24174_1	140_repUS18__rep(pKKS825)_FN377602.2
d14B_77305_2	d7E_8105_2	140_repUS18__rep(pKKS825)_FN377602.2
d14B_77305_2	d14O_28435_3	140_repUS18__rep(pKKS825)_FN377602.2
d14B_77305_2	d21M_25018_1	140_repUS18__rep(pKKS825)_FN377602.2
d14B_77305_2	d21A_13902_2	140_repUS18__rep(pKKS825)_FN377602.2
d14B_77305_2	d7O_7389_1	140_repUS18__rep(pKKS825)_FN377602.2
d14B_77305_2	d3E_37372_3	140_repUS18__rep(pKKS825)_FN377602.2
