gene_id	MGE_name	type	kingdom	phylum	class	order	family	genus	species
d7B_5218_10	1_rep1_1_repE(pAMbeta1)_AF007787	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis
d3O_9199_3	1000_tnpA_JQ364968.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter haemolyticus
d21J_160541_2	1000_tnpA_JQ364968.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter pseudolwoffii
d14B_49703_2	1002_tnpA_JQ364968.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter baumannii
d21J_50825_1	1002_tnpA_JQ364968.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter variabilis
d21J_139884_2	1004_tnpA_KT779035.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter sp. FDAARGOS_724
d21F_25335_1	1004_tnpA_KT779035.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter variabilis
d21A_2832_4	1020_IS91_LFAQ01000019.1	Insertion_element	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter hormaechei
d1G_7327_2	1027_tnpA_JN106169.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Phyllobacteriaceae	g__Aminobacter	s__Aminobacter sp. SR38
d14I_78334_2	103_rep21_1_rep(pWBG754)_GQ900396.1	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus aureus
d28O_33397_2	1034_intI1_KT334335.1	Integron	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Salmonella	s__Salmonella enterica
d14L_20275_4	1037_tnpA_AY849557.2	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis
d14I_12788_5	104_rep21_2_rep(pNVH01)_AJ512814.1	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Mammaliicoccus	s__Mammaliicoccus sciuri
d3C_723_5	1041_IS91_AIGD01000018.1	Insertion_element	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
d3J_734_1	1044_tnpA_AB723628.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella pneumoniae
d35N_524_1	1044_tnpA_AB723628.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Salmonella	s__Salmonella enterica
d3G_27118_29	1049_tnpA_HF565366.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus cereus
d21M_37675_3	105_rep21_3_pS0385-3_AM990995.1	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus aureus
d14I_55455_1	105_rep21_3_pS0385-3_AM990995.1	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus pseudintermedius
d3F_16851_1	1050_ISSfl3_AL391753	Insertion_element	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
d7K_58057_1	1052_tnpA3_CP002367.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus lactis
d7B_16967_3	1052_tnpA3_CP002367.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus raffinolactis
d21A_11849_4	1083_int2_CP002967.1	Integron	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
d1M_30353_20	1091_tnpA_AY327575.2	Transposon	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Achromobacter	s__Achromobacter pestifer
d14B_130894_4	1098_tnpA_KX756453.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Salmonella	s__Salmonella enterica
d14N_9633_2	1112_qacEdelta_AF261825.2	Integron	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Proteus	s__Proteus mirabilis
d7B_15316_3	1112_qacEdelta_AF261825.2	Integron	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Proteus	s__Proteus mirabilis
d14B_66845_3	1117_tnpA_KJ933392.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella pneumoniae
d14I_7951_1	1120_tnpA_AF535086.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus arlettae
d21A_38365_2	1123_tnpA_AMUK01000170.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia fergusonii
d21F_99426_2	1137_tnpAIS5_KF719970.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella pneumoniae
d14B_38143_2	116_rep21_14_rep(pKH21)_EU350088.1	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus chromogenes
d5O_16161_1	117_rep22_1_repB(pUB110)_X03408.1	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Mammaliicoccus	s__Mammaliicoccus lentus
d3A_32017_9	117_rep22_1_repB(pUB110)_X03408.1	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus aureus
d14M_34872_1	117_rep22_1_repB(pUB110)_X03408.1	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus aureus
d14B_68595_3	117_rep22_1_repB(pUB110)_X03408.1	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus epidermidis
d14I_86933_3	1180_tnpA_AM286690.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas aeruginosa
d35O_113887_5	1181_tnpA11_HG916826.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas sp. KBS0802
d14B_3202_3	1182_tnpA_KP400525.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella pneumoniae
d28F_13364_9	1193_tnpA_JX424614.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter cloacae
d3N_13285_1	1193_tnpA_JX424614.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
d42D_203570_8	1204_tnpA_EU213261.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
d21K_11676_2	1213_IS91_CP005930.1	Insertion_element	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
d14I_6879_1	1213_IS91_CP005930.1	Insertion_element	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
d21K_73886_7	1213_IS91_CP005930.1	Insertion_element	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
d14I_10850_1	122_rep24_2_rep(pWBG749)_GQ900391.1	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus aureus
d14N_40164_4	1225_tnpA_CALH01000114.1	Transposon	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium longum
d1G_63027_74	1225_tnpA_CALH01000114.1	Transposon	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium longum
d21M_4456_2	123_repUS1__ORF(E.faeciumContig1258)_JDOE	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus casseliflavus
d14C_5782_2	123_repUS1__ORF(E.faeciumContig1258)_JDOE	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis
d21M_24782_1	123_repUS1__ORF(E.faeciumContig1258)_JDOE	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecium
d21M_1940_3	1233_tnpA_JN208880.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus durans
d3N_4835_1	1233_tnpA_JN208880.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis
d14B_70731_1	1233_tnpA_JN208880.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecium
d3L_37240_1	1233_tnpA_JN208880.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecium
d7B_108626_3	1233_tnpA_JN208880.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecium
d21J_8792_1	1233_tnpA_JN208880.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus gilvus
d14I_63760_3	1236_tnpA_KX029332.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
d35O_30236_1	1238_tnpA_JX077110.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
d28A_59710_1	1238_tnpA_JX077110.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
d1F_36454_3	124_repUS2__repA(pBI143)_BFU30316	Plasmid	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter portucalensis
d1N_114985_2	124_repUS2__repA(pBI143)_BFU30316	Plasmid	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas aeruginosa
d21A_176_2	1242_tnpA_KP826710.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella pneumoniae
d1D_77209_5	1242_tnpA_KP826710.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Leclercia	s__Leclercia pneumoniae
d1F_107588_2	1242_tnpA_KP826710.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Shigella	s__Shigella flexneri
d7K_44071_2	126_repUS4__repA(pCI2000)_AF178424	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus lactis
HC1323_95_1	1260_tnpA_AY351675.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus paralicheniformis
d7E_51972_2	1260_tnpA_AY351675.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecium
d1M_51326_2	1274_IS91_CP001349.1	Insertion_element	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Methylobacteriaceae	g__Methylobacterium	s__Methylobacterium sp. DM1
d3F_6493_10	129_repUS7__rep(pHTbeta)_AB183714	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecium
d14N_60466_2	1294_IS91_CU928162.2	Insertion_element	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
d14B_124988_2	13_rep4_1_CDS2(pCRL291.1)_NC002799	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis
d21M_10772_1	13_rep4_1_CDS2(pCRL291.1)_NC002799	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus garvieae
d28L_14563_2	1309_tnpA_KP834592.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecium
d14A_215_2	1309_tnpA_KP834592.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus aureus
d14B_57342_4	1325_Tn916-orf8_KC414929	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Aerococcus	s__Aerococcus urinaeequi
d3C_584_2	1325_Tn916-orf8_KC414929	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus pyogenes
d14A_2225_2	1325_Tn916-orf8_KC414929	Transposon	k__Bacteria	p__Bacillota	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella	s__Veillonella nakazawae
d14B_88452_3	1328_tnpA_KR230047.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus aureus
d35A_53255_3	133_repUS11__CDS16(pTEF3)_AE016832	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis
d14B_66132_1	133_repUS11__CDS16(pTEF3)_AE016832	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecium
HC50_5_172	1335_tnpA1_FN597644.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus cereus
d14O_25603_2	1335_tnpA1_FN597644.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus sp. LJBS17
d21M_23879_2	1335_tnpA1_FN597644.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus aureus
d14A_7225_5	1338_tnpA_10_CQHS01000038.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
d14D_7370_1	134_repUS12__rep(pUB110)_AF181950	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Dolosigranulum	s__Dolosigranulum pigrum
d7B_87842_2	134_repUS12__rep(pUB110)_AF181950	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus epidermidis
d1L_48313_1	1341_Tn916-orf9_KC414929	Transposon	k__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Blautia	s__Blautia obeum
d14B_91758_1	1341_Tn916-orf9_KC414929	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Jeotgalibaca	s__Jeotgalibaca porci
d1D_57978_6	1341_Tn916-orf9_KC414929	Transposon	k__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__	s__Lachnospiraceae bacterium
d1I_83187_3	1341_Tn916-orf9_KC414929	Transposon	k__Bacteria	p__Mycoplasmatota	c__	o__Mycoplasmoidales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma hominis
d14A_4715_1	1341_Tn916-orf9_KC414929	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus pneumoniae
d21J_134126_6	1356_Tn916-orf17_KC414929	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis
d3G_36155_2	1356_Tn916-orf17_KC414929	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecium
d14A_840_5	1356_Tn916-orf17_KC414929	Transposon	k__Bacteria	p__Bacillota	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella	s__Veillonella nakazawae
d3I_21081_2	1360_tnpA_LXLL01000017.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus sp. PGP15
d35J_44540_1	137_repUS15__ORF(E.faecium287)_NZAAAK010000287	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecium
d14I_4725_1	137_repUS15__ORF(E.faecium287)_NZAAAK010000287	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecium
d35O_16987_1	1372_tnpA_CBTB010000226.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Yersiniaceae	g__Serratia	s__Serratia odorifera
d14B_35375_1	138_repUS16__repF(pE194)_M17811.1	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus aureus
d21J_25582_3	138_repUS16__repF(pE194)_M17811.1	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus aureus
d14B_3202_4	1387_tnpA_KP400525.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella pneumoniae
d21J_155044_1	139_repUS17__rep(pKKS825)_FN377602.2	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Desemzia	s__Desemzia incerta
d14B_107833_2	1393_tnpA_FR733648.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Listeriaceae	g__Listeria	s__Listeria monocytogenes
d21J_94858_2	1395_Int-Tn916_KC414929.1	Integron	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus salivarius
d14B_39823_5	1395_Int-Tn916_KC414929.1	Integron	k__Bacteria	p__Bacillota	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella	s__Veillonella nakazawae
d21J_110907_2	1396_tnpA_LM676407.1	Transposon	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Glutamicibacter	s__Glutamicibacter protophormiae
d14D_8289_4	1399_IS91_DQ388534.1	Insertion_element	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
d35N_30127_1	1399_IS91_DQ388534.1	Insertion_element	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia fergusonii
