name	source	genomospecies	contigs	genome size (Mbp)	N50 length (bp)	N90 length (bp)	max	GC content	completeness	contamination	QS	quality level	phylum	class	order	family	genus	species
d14B.bin.18	MAG	Yes	343	2.47	 9,141 	 3,423 	 45,144 	44.18	96.72	1.72	88.12	High-quality	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_C	s__Enterococcus_C diestrammenae_A
d14I.bin.28	MAG	Yes	342	2.36	 8,099 	 3,589 	 41,206 	54.16	77.73	0.88	73.33	Medium-quality	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium glutamicum
d14B.bin.20	MAG	No	448	2.72	 7,379 	 3,050 	 32,339 	54.32	87.83	4.90	63.33	Medium-quality	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium glutamicum
d14B.bin.25	MAG	No	312	2.10	 8,711 	 3,004 	 48,672 	54.81	76.49	2.33	64.84	Medium-quality	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium stationis
d14B.bin.27	MAG	Yes	398	2.05	 6,114 	 2,704 	 25,076 	60.73	79.55	1.41	72.50	Medium-quality	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Flaviflexus	s__
d14B.bin.33	MAG	No	256	2.06	 10,145 	 3,994 	 37,444 	59.62	90.45	0.44	88.25	High-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Enterenecus	s__Enterenecus faecium
d14B.bin.4	MAG	No	344	1.51	 4,967 	 2,399 	 31,636 	64.51	79.41	0.39	77.46	Medium-quality	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium pullorum_B
d14B.bin.45	MAG	Yes	231	1.74	 9,740 	 3,411 	 39,575 	39.68	90.26	1.24	84.06	High-quality	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Aerococcus	s__Aerococcus urinaeequi
d14B.bin.6	MAG	Yes	324	1.67	 6,170 	 2,636 	 16,817 	45.76	75.79	0.76	71.99	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__Eubacterium_R faecavium
d14C.bin.9	MAG	No	405	2.62	 7,724 	 3,311 	 45,912 	40.80	81.55	2.08	71.15	Medium-quality	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_D	s__Enterococcus_D gallinarum
d14D.bin.8	MAG	No	299	2.09	 9,581 	 3,154 	 51,078 	54.87	83.86	0.95	79.11	Medium-quality	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium stationis
d14G.bin.15	MAG	No	37	1.46	 52,308 	 24,052 	 187,097 	40.47	93.50	1.07	88.15	High-quality	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus aviarius
d14I.bin.24	MAG	No	415	2.07	 5,664 	 2,786 	 25,986 	44.27	74.42	2.58	61.52	Medium-quality	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_C	s__Enterococcus_C diestrammenae_A
d14I.bin.25	MAG	No	254	1.83	 9,241 	 3,677 	 29,754 	54.84	76.10	0.56	73.30	Medium-quality	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium stationis
d14I.bin.31	MAG	Yes	122	2.53	 38,967 	 8,491 	 122,167 	32.99	94.00	2.32	82.40	High-quality	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus saprophyticus
d14J.bin.27	MAG	Yes	170	2.84	 24,603 	 8,582 	 54,671 	51.27	92.82	0.54	90.12	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter faecigallinarum
d14J.bin.9	MAG	Yes	436	2.08	 5,407 	 2,631 	 25,484 	64.16	79.34	0.57	76.49	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger stercorigallinarum
d14K.bin.12	MAG	Yes	337	4.26	 21,140 	 5,216 	 160,602 	36.39	94.72	3.03	79.57	High-quality	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Psychrobacillus	s__Psychrobacillus psychrotolerans
d14L.bin.12	MAG	Yes	162	1.43	 13,148 	 4,098 	 41,781 	38.86	82.20	0.34	80.50	Medium-quality	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus coleohominis
d14L.bin.13	MAG	No	121	2.01	 22,347 	 7,455 	 114,193 	40.57	83.05	0.00	83.05	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Limousia	s__Limousia pullorum
d14M.bin.14	MAG	No	406	1.72	 4,689 	 2,531 	 12,069 	64.82	70.45	0.87	66.10	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger stercoravium
d14M.bin.2	MAG	No	354	4.52	 21,015 	 5,164 	 78,554 	41.21	87.18	1.58	79.28	Medium-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola dorei
d14N.bin.1	MAG	No	325	2.05	 8,322 	 3,006 	 36,399 	54.80	78.62	2.69	65.17	Medium-quality	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium stationis
d14N.bin.19	MAG	No	419	2.78	 8,156 	 3,283 	 41,097 	54.03	89.36	4.16	68.56	Medium-quality	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium glutamicum
d14N.bin.5	MAG	No	474	1.93	 4,377 	 2,417 	 17,161 	44.13	72.32	1.49	64.87	Medium-quality	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_C	s__Enterococcus_C diestrammenae_A
d14O.bin.15	MAG	No	440	2.10	 5,415 	 2,666 	 25,760 	54.28	75.86	3.56	58.06	Medium-quality	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium glutamicum
d14O.bin.4	MAG	No	280	1.86	 8,443 	 3,233 	 43,238 	55.00	76.23	1.96	66.43	Medium-quality	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium stationis
d1D.bin.12	MAG	Yes	58	3.20	 78,141 	 34,226 	 175,603 	46.95	98.16	1.29	91.71	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor sp900066565
d1D.bin.15	MAG	Yes	26	2.63	 149,305 	 47,573 	 374,844 	42.86	100.00	2.02	89.90	High-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_D	s__Ruminococcus_D bicirculans
d1D.bin.17	MAG	Yes	177	1.77	 15,645 	 4,159 	 69,802 	33.80	85.30	0.39	83.35	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__CAG-274	g__CAG-274	s__CAG-274 sp900545305
d1D.bin.18	MAG	Yes	144	2.55	 27,755 	 7,972 	 88,292 	48.70	99.99	2.66	86.69	High-quality	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_A	g__Parasutterella	s__Parasutterella excrementihominis
d1D.bin.23	MAG	Yes	144	2.74	 27,925 	 8,745 	 121,689 	48.22	86.31	0.03	86.16	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Fusicatenibacter	s__Fusicatenibacter saccharivorans
d1D.bin.27	MAG	No	389	1.95	 5,658 	 2,617 	 32,679 	28.91	78.93	2.70	65.43	Medium-quality	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A mortiferum
d1D.bin.31	MAG	Yes	186	3.36	 31,398 	 7,851 	 105,707 	41.84	84.73	0.39	82.78	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A wexlerae
d1D.bin.35	MAG	Yes	244	1.76	 9,397 	 3,534 	 33,256 	48.13	82.44	2.18	71.54	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Anaerotignaceae	g__Anaerotignum	s__Anaerotignum faecicola
d1D.bin.36	MAG	No	49	4.55	 150,077 	 48,903 	 428,672 	45.17	99.79	1.11	94.24	High-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides distasonis
